Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
also I point person company Åf transition KL-5 GR-6 system,Chandler,4,neutral,0,0,0,0,8,21,"00:16:16,059","00:16:21,731"
You must Åf hands full,The Interviewer,4,neutral,0,1,0,1,8,21,"00:16:21,940","00:16:23,442"
That I That I,Chandler,4,neutral,0,2,0,2,8,21,"00:16:23,442","00:16:26,389"
So let Åf talk little bit duties,The Interviewer,4,neutral,0,3,0,3,8,21,"00:16:26,820","00:16:29,572"
My duties All right,Chandler,6,positive,0,4,0,4,8,21,"00:16:34,452","00:16:40,917"
Now Åf heading whole division Åf lot duties,The Interviewer,4,neutral,0,5,0,5,8,21,"00:16:41,126","00:16:44,337"
But Åf perhaps 30 people dump certain amount,The Interviewer,4,neutral,0,7,0,7,8,21,"00:16:48,800","00:16:54,514"
We go detail,The Interviewer,4,neutral,0,9,0,9,8,21,"00:17:00,478","00:17:02,719"
No Åf I beg,Chandler,2,negative,0,10,0,10,8,21,"00:17:02,856","00:17:04,858"
All right Åf definite answer Monday I think I say confidence Åf fit well,The Interviewer,4,neutral,0,11,0,11,8,21,"00:17:05,025","00:17:13,324"
Absolutely You relax,The Interviewer,4,neutral,0,13,0,13,8,21,"00:17:17,579","00:17:20,707"
But The waitress I went last month,Joey,6,negative,1,0,1,0,9,23,"00:36:40,364","00:36:42,824"
You know Forget,Rachel,5,negative,1,1,1,1,9,23,"00:36:44,368","00:36:46,578"
No-no-no-no Who talking,Joey,6,negative,1,2,1,2,9,23,"00:36:44,368","00:36:49,122"
No I-I-I-I n't I actually n't know,Rachel,2,negative,1,3,1,3,9,23,"00:36:49,290","00:36:51,791"
All right well,Joey,4,neutral,1,5,1,5,9,23,"00:36:53,545","00:36:55,000"
Hey-hey-hey You wan na hear something sucks,Monica,4,neutral,2,1,2,1,3,6,"0:05:52,435","0:05:53,897"
Do I ever,Chandler,3,positive,2,2,2,2,3,6,"0:05:53,897","0:05:55,743"
Chris says Åf closing bar,Monica,5,negative,2,3,2,3,3,6,"0:05:57,023","0:05:58,734"
Yeah apparently Åf turning kinda coffee place,Monica,4,neutral,2,5,2,5,3,6,"00:05:59,942","00:06:02,152"
Just coffee Where gon na hang,Chandler,1,negative,2,6,2,6,3,6,"00:06:02,362","00:06:07,157"
Can I get beer,Chandler,4,neutral,2,8,2,8,3,6,"0:06:07,367","0:06:08,035"
Hey pick roommate,Monica,4,neutral,2,9,2,9,3,6,"0:06:08,035","0:06:10,019"
Is Italian guy,Monica,4,neutral,2,11,2,11,3,6,"0:06:10,973","0:06:12,167"
Um-mm yeah right,Chandler,3,positive,2,12,2,12,3,6,"00:06:12,288","00:06:13,497"
Oh God oh God Poor Monica,Phoebe,6,negative,3,0,3,0,3,12,"00:10:16,115","00:10:18,450"
He wrote poem,Phoebe,4,neutral,3,3,3,3,3,12,"00:10:21,078","00:10:23,496"
Look 'My vessel empty nothing inside,Phoebe,4,neutral,3,4,3,4,3,12,"00:10:23,664","00:10:26,499"
Now I 've touched seem emptier still,Phoebe,4,neutral,3,5,3,5,3,12,"00:10:26,667","00:10:29,586"
He thinks Monica empty empty vase,Phoebe,6,negative,3,6,3,6,3,12,"00:10:29,754","00:10:32,672"
Oh totally Oh God oh seemed happy,Phoebe,5,negative,3,7,3,8,3,12,"00:10:36,385","00:10:39,137"
He wrote poem,Phoebe,4,neutral,4,1,3,3,3,12,"00:10:21,078","00:10:23,496"
Look 'My vessel empty nothing inside,Phoebe,4,neutral,4,2,3,4,3,12,"00:10:23,664","00:10:26,499"
Now I 've touched seem emptier still,Phoebe,4,neutral,4,3,3,5,3,12,"00:10:26,667","00:10:29,586"
