,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
0,i point person company s transition system,Chandler,4,neutral,0,0
1,must ve hand full,The Interviewer,4,neutral,0,1
2,s little bit duty,The Interviewer,4,neutral,0,3
3,ll heading whole division ll lot duty,The Interviewer,4,neutral,0,5
4,ll perhaps people can dump certain amount,The Interviewer,4,neutral,0,7
5,don t i beg,Chandler,2,negative,0,10
6,right ll definite answer monday i i can say confidence ll fit,The Interviewer,4,neutral,0,11
7,absolutely can relax,The Interviewer,4,neutral,0,13
8,who waitress i went out last month,Joey,6,negative,1,0
9,who who talking,Joey,6,negative,1,2
10,wan na something suck,Monica,4,neutral,2,1
11,chris say re closing down bar,Monica,5,negative,2,3
12,yeah apparently re turning kinda coffee place,Monica,4,neutral,2,5
13,coffee gon na hang out,Chandler,1,negative,2,6
14,can i beer,Chandler,4,neutral,2,8
15,hey pick roommate,Monica,4,neutral,2,9
16,god god poor monica,Phoebe,6,negative,3,0
17,vessel empty nothing,Phoebe,4,neutral,3,4
18,i touched emptier,Phoebe,4,neutral,3,5
19,think monica empty empty vase,Phoebe,6,negative,3,6
20,totally god seemed happy,Phoebe,5,negative,3,7
21,vessel empty nothing,Phoebe,4,neutral,4,2
22,i touched emptier,Phoebe,4,neutral,4,3
23,think monica empty empty vase,Phoebe,6,negative,4,4
24,totally god seemed happy,Phoebe,5,negative,4,5
25,building paper route i,Ross,4,neutral,5,3
26,woman i interviewed pretty tough thank god mark coached because i started talking line got happy wouldn t shut,Rachel,3,positive,5,8
27,i m proud,Ross,3,positive,5,9
28,listen i m i m sorry i ve crazy jealous s i lot,Ross,5,negative,5,11
29,good job joe done top notch,Chandler,3,positive,8,0
30,whole thing can,Chandler,4,neutral,8,4
31,i specific specific best part,Chandler,3,positive,8,6
32,hey scene kangaroo part,Joey,4,neutral,8,7
33,i surprised kangaroo world war i epic,Chandler,6,negative,8,8
34,didn t suggestion,Joey,0,negative,8,11
35,s coming buddy,Joey,4,neutral,8,12
36,i ll later,Joey,4,neutral,8,13
37,i m sorry,Chandler,5,negative,8,15
38,i m sorry,Chandler,5,negative,8,16
39,guy fell asleep,Chandler,0,negative,8,18
40,okay i rachel messed dessert,Joey,4,neutral,9,0
41,everybody s thanksgiving,Ross,0,negative,9,1
42,yes dying wish ring,Phoebe,4,neutral,10,0
43,if i m buried ring spirit going wander nether world eternity,Phoebe,4,neutral,10,1
44,okay s enough honey,Chandler,4,neutral,10,2
45,okay s enough honey,Chandler,4,neutral,11,0
46,i don t ring,Customer,4,neutral,11,1
47,thank thank thank,Chandler,3,positive,11,4
48,usual teaching aerobics partying way,Jade,4,neutral,12,1
49,case wondering leg new james bond poster,Jade,4,neutral,12,2
50,can moment i i,Chandler,3,positive,12,3
51,gon na together,Jade,4,neutral,12,5
52,absolutely tomorrow afternoon central perk village say,Chandler,4,neutral,12,6
53,phone finally paid off,Chandler,3,positive,12,8
54,can moment i i,Chandler,3,positive,13,0
55,phone finally paid off,Chandler,3,positive,13,3
56,though good bob impression i thinkin see tomorow probably gon na realize hey bob,Ross,4,neutral,13,4
57,i hoping bob will seek comfort arm wry stranger next table,Chandler,4,neutral,13,5
58,god pure evil,Ross,1,negative,13,6
59,ok pure evil horny alone i done,Chandler,0,negative,13,7
60,nobody respect bucket,Phoebe,0,negative,14,1
61,okay garbage can,Phoebe,0,negative,14,4
62,right y late s s s,Monica,0,negative,15,1
63,fine ll video back,Ross,4,neutral,15,2
64,fine ll video back,Ross,4,neutral,16,0
65,phoebe phobo phewbedo phaybobo,Chandler,3,positive,16,1
66,phoebe phobo phewbedo phaybobo,Chandler,3,positive,17,0
67,right s bye pheebs,Ross,3,positive,18,2
68,right s bye pheebs,Ross,3,positive,19,0
69,hug don t anything,Phoebe,3,positive,20,4
70,hey estelle lined bunch audition tomorrow i ll health insurance back time,Joey,3,positive,21,1
71,s great shouldn t toilet right,Chandler,1,negative,21,2
72,got blinding pain stomach i lifting weight i passed out haven t able since,Joey,2,negative,21,6
73,i don t s anything serious,Joey,4,neutral,21,7
74,sound hernia doctor,Chandler,6,negative,21,8
75,way kay if i doctor anything s gon na thing sticking out stomach,Joey,2,negative,21,9
76,i working out again damn,Joey,0,negative,21,11
77,i place guy,Mona,3,positive,22,0
78,s eighteenth century indian artifact calcutta,Ross,4,neutral,22,1
79,wow re than dinosaur,Mona,6,positive,22,2
80,sum re fun young,Ross,4,neutral,23,0
81,s enough s key apartment,Ross,4,neutral,23,2
82,don t fast,Mona,4,neutral,23,5
83,ross can i minute,Charlie,4,neutral,24,1
84,yes please going,Ross,4,neutral,24,2
85,joey i broke,Charlie,5,negative,24,3
86,joey great guy different i speech kept laughing homo erectus,Charlie,5,negative,24,5
87,anyway i i best,Charlie,5,negative,24,7
88,hum reason i thought time end joey,Charlie,4,neutral,24,10
89,i started realize i feeling someone else,Charlie,4,neutral,24,11
90,professor clerk kind middle conversation,Ross,4,neutral,24,12
91,yeah can guy throw pool later,Charlie,4,neutral,24,13
92,i scientist right,Ross,4,neutral,24,17
93,importantly i will catch u first,Ross,3,positive,24,19
94,hum reason i thought time end joey,Charlie,4,neutral,25,1
95,i started realize i feeling someone else,Charlie,4,neutral,25,2
96,ok geller last day conference happens keynote speaker,Paleontologist,4,neutral,25,3
97,ok geller last day conference happens keynote speaker,Paleontologist,4,neutral,26,0
98,professor clerk kind middle conversation,Ross,4,neutral,26,1
99,i scientist right,Ross,4,neutral,26,5
100,importantly i will catch u first,Ross,3,positive,26,7
101,hum reason i thought time end joey,Charlie,4,neutral,27,1
102,i started realize i feeling someone else,Charlie,4,neutral,27,2
103,yeah can guy throw pool later,Charlie,4,neutral,27,3
104,i scientist right,Ross,4,neutral,28,4
105,importantly i will catch u first,Ross,3,positive,28,6
106,yeah everybody want hat,Rachel,3,positive,29,1
107,yeah everybody want hat,Rachel,3,positive,30,0
108,yeah bob said might flood damage,Phoebe,4,neutral,31,2
109,yeah bob said might flood damage,Phoebe,4,neutral,32,0
110,yeah big cat,Ross,4,neutral,32,1
111,okay blind guy right i gon na bash head later,Joey,0,negative,33,0
112,umm big scene coming big scene coming,Joey,3,positive,33,1
113,if said big lima bean bubbling would difference,Chandler,4,neutral,33,2
114,if said big lima bean bubbling would difference,Chandler,4,neutral,34,0
115,boy i ca scary,Rachel,2,negative,35,1
116,yeah baby responsibility ahhh,Rachel,2,negative,35,3
117,yeah baby responsibility ahhh,Rachel,2,negative,36,0
118,i i will,Ross,3,positive,37,1
119,hey wan na something eat wan na long can throw ball back forth huh,Ross,4,neutral,38,0
120,uhh ball thing,Joey,4,neutral,38,1
121,hey ross would great if could two straight hour dropping,Joey,3,positive,38,3
122,i pee rachel bathroom,Joey,5,negative,38,8
123,man i gon na,Joey,6,positive,38,9
124,i switch hand okay,Ross,2,negative,38,10
125,unbelievable best time,Joey,3,positive,40,1
126,guy totally right,Joey,3,positive,40,5
127,better than first time went out,Joey,3,positive,40,6
128,yeah calm down,Joey,4,neutral,40,9
129,love sandwich sport although met fan issue if kid s,Joey,3,positive,40,12
130,god listen talkin kid joey please don t married i,Rachel,6,positive,40,13
131,unbelievable best time,Joey,3,positive,41,0
132,yay re re mad u anymore,Phoebe,3,positive,41,1
133,guy totally right,Joey,3,positive,41,5
134,better than first time went out,Joey,3,positive,41,6
135,didn t sleep together,Phoebe,4,neutral,41,9
136,yeah calm down,Joey,4,neutral,41,10
137,love sandwich sport although met fan issue if kid s,Joey,3,positive,41,13
138,i can sleep public place,Ross,4,neutral,42,1
139,okay nodded off again,Ross,4,neutral,42,3
140,i got sleep last night,Phoebe,0,negative,43,3
141,grandmother new boyfriend kind insecure bed,Phoebe,1,negative,43,4
142,constantly reassure good time,Phoebe,4,neutral,43,6
143,if can rachel tonight,Monica,4,neutral,43,8
144,okay nodded off again,Ross,4,neutral,44,1
145,i got sleep last night,Phoebe,0,negative,44,2
146,grandmother new boyfriend kind insecure bed,Phoebe,1,negative,44,4
147,constantly reassure good time,Phoebe,4,neutral,44,6
148,ew something exploded,Joey,1,negative,45,0
149,water breaking calm down will,Nurse,4,neutral,45,1
150,water breaking water breaking,Joey,6,negative,45,2
151,breathe breathe breathe,Nurse,4,neutral,45,3
152,insane i joey going s actually going dead,Monica,6,negative,46,0
153,okay don t i thought,Chandler,0,negative,46,1
154,can t one dwha,Chandler,6,negative,46,3
155,okay don t i thought,Chandler,0,negative,47,0
156,i s unbelievable,Rachel,3,positive,48,1
157,i s unbelievable,Rachel,3,positive,49,0
158,dark big hair airplane earring,Rachel,4,neutral,49,2
159,dark big hair airplane earring,Rachel,4,neutral,51,1
160,i don t thought saturday funny,Rachel,4,neutral,52,0
161,honey mark fashion okay i friend i can share stuff,Rachel,4,neutral,52,1
162,guy would lecture,Rachel,4,neutral,52,2
163,yeah hey clothes i pick out,Ross,4,neutral,52,5
164,i i could fashion monger,Ross,4,neutral,52,6
165,okay honey i would,Rachel,3,positive,52,7
166,should i wear i m nervous,Ross,2,negative,52,8
167,i hey incredible huh,Mr. Treeger,3,positive,53,0
168,i amazing i totally nailed beautiful,Joey,3,positive,53,1
169,thank listen thanks lot tribbiani god time i got ta catch bus ball,Mr. Treeger,3,positive,53,2
170,okay good luck,Joey,3,positive,53,3
171,unless wan na practice foxtrot again tango,Joey,4,neutral,53,5
172,ahh thanks i m ready dance girl,Mr. Treeger,4,neutral,53,6
173,right hey ahh wan na marge girlfriend,Mr. Treeger,4,neutral,53,10
174,yeah could dance real good s size,Mr. Treeger,4,neutral,53,12
175,i m good,Joey,4,neutral,53,13
176,god nerve wracking,Ross,6,negative,54,0
177,unfortunately i callback,Joey,4,neutral,54,1
178,yes i knew long later,Ross,3,positive,54,2
179,great i might actually ben dad,Joey,3,positive,54,3
180,man gon na kinda weird,Joey,5,negative,54,5
181,gon na best friend gon na weird,Ross,4,neutral,54,7
182,unfortunately i callback,Joey,4,neutral,55,0
183,good sign asked u hang audition,Carol,6,positive,55,1
184,okay narrowed down raymond ben kyle joey rest thank,The Casting Director,4,neutral,56,1
185,yeah because different look putting raymond kyle ben,The Casting Director,4,neutral,56,3
186,man gon na kinda weird,Joey,5,negative,56,5
187,okay narrowed down raymond ben kyle joey rest thank,The Casting Director,4,neutral,57,0
188,yes i knew long later,Ross,3,positive,57,1
189,yeah because different look putting raymond kyle ben,The Casting Director,4,neutral,57,4
190,gon na best friend gon na weird,Ross,4,neutral,57,7
