,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
0,also point person company transition system,0,4,neutral,0,0
1,must hand full,1,4,neutral,0,1
2,let talk little bit duty,1,4,neutral,0,3
3,heading whole division lot duty,1,4,neutral,0,5
4,perhaps people dump certain amount,1,4,neutral,0,7
5,right definite answer monday think say confidence fit well,1,4,neutral,0,11
6,waitress went last month,0,6,negative,1,0
7,wan na hear something suck,1,4,neutral,2,1
8,chris say closing bar,1,5,negative,2,3
9,yeah apparently turning kinda coffee place,1,4,neutral,2,5
10,coffee gon na hang,0,1,negative,2,6
11,hey pick roommate,1,4,neutral,2,9
12,oh god oh god poor monica,1,6,negative,3,0
13,look vessel empty nothing inside,1,4,neutral,3,4
14,touched seem emptier still,1,4,neutral,3,5
15,think monica empty empty vase,1,6,negative,3,6
16,oh totally oh god oh seemed happy,1,5,negative,3,7
17,look vessel empty nothing inside,1,4,neutral,4,2
18,touched seem emptier still,1,4,neutral,4,3
19,think monica empty empty vase,1,6,negative,4,4
20,oh totally oh god oh seemed happy,1,5,negative,4,5
21,ah building paper route,1,4,neutral,5,3
22,oh well woman interviewed pretty tough thank god mark coached started talking fall line got happy shut,0,3,positive,5,8
23,listen ah sorry crazy jealous like lot,1,5,negative,5,11
24,good job joe well done top notch,0,3,positive,8,0
25,liked really liked,1,6,positive,8,1
26,whole thing go,0,4,neutral,8,4
27,oh give specific,1,0,negative,8,5
28,love specific specific best part,0,3,positive,8,6
29,hey scene kangaroo like part,1,4,neutral,8,7
30,surprised see kangaroo world war epic,0,6,negative,8,8
31,guy fell asleep,0,0,negative,8,18
32,okay look think tell rachel messed dessert,0,4,neutral,9,0
33,yes dying wish ring,1,4,neutral,10,0
34,see buried ring spirit going wander nether world eternity,1,4,neutral,10,1
35,okay enough honey,0,4,neutral,10,2
36,okay enough honey,0,4,neutral,11,0
37,know let see ring,1,4,neutral,11,1
38,thank thank thank,0,3,positive,11,4
39,oh know usual teaching aerobics partying way much,1,4,neutral,12,1
40,oh case wondering leg new james bond poster,1,4,neutral,12,2
41,hold moment another call love,0,3,positive,12,3
42,gon na get together,1,4,neutral,12,5
43,um absolutely uh tomorrow afternoon know uh central perk village say,0,4,neutral,12,6
44,phone finally paid,0,3,positive,12,8
45,hold moment another call love,0,3,positive,13,0
46,phone finally paid,0,3,positive,13,3
47,even though good bob impression thinkin see tomorow probably gon na realize hey bob,1,4,neutral,13,4
48,hoping bob show seek comfort open arm wry stranger next table,0,4,neutral,13,5
49,oh god pure evil,1,1,negative,13,6
50,ok pure evil horny alone done,0,0,negative,13,7
51,nobody respect bucket,1,0,negative,14,1
52,would believe people put,1,0,negative,14,2
53,okay look like garbage,1,0,negative,14,4
54,right know really late let go let go let go,0,0,negative,15,1
55,fine watch video get back,1,4,neutral,15,2
56,fine watch video get back,1,4,neutral,16,0
57,go phoebe go phobo phewbedo phaybobo,0,3,positive,16,1
58,go phoebe go phobo phewbedo phaybobo,0,3,positive,17,0
59,right let go bye pheebs,1,3,positive,18,2
60,right let go bye pheebs,1,3,positive,19,0
61,oh need hug bring anything,1,3,positive,20,4
62,hey estelle lined bunch audition tomorrow health insurance back time,1,3,positive,21,1
63,great toilet right,0,1,negative,21,2
64,well got blinding pain stomach lifting weight uh passed uh able stand since,1,2,negative,21,6
