,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
0,also point person company transition system,Chandler,4,0,0
1,must hand full,The Interviewer,4,0,1
2,let talk little bit duty,The Interviewer,4,0,3
3,duty right,Chandler,6,0,4
4,heading whole division lot duty,The Interviewer,4,0,5
5,see,Chandler,4,0,6
6,perhaps people dump certain amount,The Interviewer,4,0,7
7,good know,Chandler,4,0,8
8,go detail,The Interviewer,4,0,9
9,beg,Chandler,2,0,10
10,right definite answer monday think say confidence fit well,The Interviewer,4,0,11
11,really,Chandler,6,0,12
12,absolutely relax,The Interviewer,4,0,13
13,waitress went last month,Joey,6,1,0
14,know forget,Rachel,5,1,1
15,talking,Joey,6,1,2
16,actually know,Rachel,2,1,3
17,ok,Joey,4,1,4
18,right well,Joey,4,1,5
19,yeah sure,Rachel,4,1,6
20,hey mon,Chandler,4,2,0
21,wan na hear something suck,Monica,4,2,1
22,ever,Chandler,3,2,2
23,chris say closing bar,Monica,5,2,3
24,way,Chandler,6,2,4
25,yeah apparently turning kinda coffee place,Monica,4,2,5
26,coffee gon na hang,Chandler,1,2,6
27,got,Monica,5,2,7
28,get beer,Chandler,4,2,8
29,hey pick roommate,Monica,4,2,9
30,betcha,Chandler,3,2,10
31,italian guy,Monica,4,2,11
32,yeah right,Chandler,3,2,12
33,oh god oh god poor monica,Phoebe,6,3,0
34,wrote poem,Phoebe,4,3,3
35,look vessel empty nothing inside,Phoebe,4,3,4
36,touched seem emptier still,Phoebe,4,3,5
37,think monica empty empty vase,Phoebe,6,3,6
38,oh totally oh god oh seemed happy,Phoebe,5,3,7
39,wrote poem,Phoebe,4,4,1
40,look vessel empty nothing inside,Phoebe,4,4,2
41,touched seem emptier still,Phoebe,4,4,3
42,think monica empty empty vase,Phoebe,6,4,4
43,oh totally oh god oh seemed happy,Phoebe,5,4,5
44,done,Joey,4,4,6
45,hey,Rachel,6,5,0
46,hi,Ross,3,5,1
47,ah building paper route,Ross,4,5,3
48,oh,Rachel,4,5,4
49,hi,Ross,4,5,5
50,hi,Rachel,4,5,6
51,go,Ross,4,5,7
52,oh well woman interviewed pretty tough thank god mark coached started talking fall line got happy shut,Rachel,3,5,8
53,proud,Ross,3,5,9
54,listen ah sorry crazy jealous like lot,Ross,5,5,11
55,know,Rachel,4,5,12
56,yeah,Ross,4,5,13
57,yeah,Rachel,4,5,14
58,everybody,Sergei,6,7,1
59,good job joe well done top notch,Chandler,3,8,0
60,liked really liked,Joey,6,8,1
61,yeah,Chandler,3,8,2
62,part exactly,Joey,4,8,3
63,whole thing go,Chandler,4,8,4
64,oh give specific,Joey,0,8,5
65,love specific specific best part,Chandler,3,8,6
66,hey scene kangaroo like part,Joey,4,8,7
67,surprised see kangaroo world war epic,Chandler,6,8,8
68,fell asleep,Joey,0,8,9
69,kangaroo,Joey,0,8,10
70,take suggestion,Joey,0,8,11
71,coming buddy,Joey,4,8,12
72,see later,Joey,4,8,13
73,go,Chandler,5,8,14
74,sorry,Chandler,5,8,15
75,sorry,Chandler,5,8,16
76,look,Chandler,6,8,17
77,guy fell asleep,Chandler,0,8,18
78,fell asleep,Chandler,0,8,19
79,mad,Chandler,0,8,20
80,call ambulance,Chandler,0,8,21
81,okay look think tell rachel messed dessert,Joey,4,9,0
82,everybody thanksgiving,Ross,0,9,1
83,yes dying wish ring,Phoebe,4,10,0
84,see buried ring spirit going wander nether world eternity,Phoebe,4,10,1
85,okay enough honey,Chandler,4,10,2
86,okay enough honey,Chandler,4,11,0
87,know let see ring,Customer,4,11,1
88,great okay,Chandler,3,11,2
89,right,Customer,4,11,3
90,thank thank thank,Chandler,3,11,4
91,oh know usual teaching aerobics partying way much,Jade,4,12,1
92,oh case wondering leg new james bond poster,Jade,4,12,2
93,hold moment another call love,Chandler,3,12,3
94,back,Chandler,4,12,4
95,gon na get together,Jade,4,12,5
96,um absolutely uh tomorrow afternoon know uh central perk village say,Chandler,4,12,6
97,great see,Jade,4,12,7
98,phone finally paid,Chandler,3,12,8
99,hold moment another call love,Chandler,3,13,0
100,know,Ross,4,13,1
101,back,Chandler,4,13,2
102,phone finally paid,Chandler,3,13,3
103,even though good bob impression thinkin see tomorow probably gon na realize hey bob,Ross,4,13,4
104,hoping bob show seek comfort open arm wry stranger next table,Chandler,4,13,5
105,oh god pure evil,Ross,1,13,6
106,ok pure evil horny alone done,Chandler,0,13,7
107,nobody,Phoebe,0,14,0
108,nobody respect bucket,Phoebe,0,14,1
109,would believe people put,Phoebe,0,14,2
110,look,Phoebe,0,14,3
111,okay look like garbage,Phoebe,0,14,4
112,wedding,Ross,4,15,0
113,right know really late let go let go let go,Monica,0,15,1
114,fine watch video get back,Ross,4,15,2
115,fine watch video get back,Ross,4,16,0
116,go phoebe go phobo phewbedo phaybobo,Chandler,3,16,1
117,go phoebe go phobo phewbedo phaybobo,Chandler,3,17,0
118,thank,Phoebe,4,17,1
119,thank,Phoebe,4,17,2
120,thank,Phoebe,4,18,0
121,thank,Phoebe,4,18,1
122,right let go bye pheebs,Ross,3,18,2
123,right let go bye pheebs,Ross,3,19,0
124,bye pheebs,Joey,3,19,1
125,london baby,Joey,3,19,2
126,thank,Phoebe,4,20,0
127,thank,Phoebe,4,20,1
128,bye pheebs,Joey,3,20,2
129,london baby,Joey,3,20,3
130,oh need hug bring anything,Phoebe,3,20,4
131,hey,Chandler,4,21,0
132,hey estelle lined bunch audition tomorrow health insurance back time,Joey,3,21,1
133,great toilet right,Chandler,1,21,2
134,wrong,Chandler,1,21,4
135,nothing,Joey,4,21,5
136,well got blinding pain stomach lifting weight uh passed uh able stand since,Joey,2,21,6
137,um think anything serious,Joey,4,21,7
138,sound like hernia go doctor,Chandler,6,21,8
139,way kay look go doctor anything gon na thing sticking stomach,Joey,2,21,9
140,hernia,Chandler,1,21,10
141,start working damn,Joey,0,21,11
142,love place guy,Mona,3,22,0
143,uh eighteenth century indian artifact calcutta,Ross,4,22,1
